Item No.,大?,小?,功能?,基本要求,?段目?,?估MD,Remark,TFS Item,PIC,Status,ETD,last ETD,Delay Reason,Is Solution Ready,Solution PIC,Solution ETD,Solution Last ETD,Required by,Source Doc,Source Doc Ref. No.
DMS-02-10-01,DMS,DMS,Locate to My Desktop,"Allow to create shortcut and locate the selected folder / file to My Desktop 
(FW: Add a block on ""My Desktop"" to display shortcuts, clicking on shortcut will download the attachment directly, if the shortcut is a folder, the folder will be opened in DMS)",2016年12月,,"Widget方面打算用上EditTable, ?在等待Jerry ?EditTable加入actionPerformed/ actionListener之?的attribute",,Calvin Tam,Resolved,2016-12-06,TBC,2016/11/25：等Jerry修改edittable后再?理,Y,,,,FW,,
DMS-02-10-02,DMS,DMS,Locate to My Desktop - directly open,Study feasibility of directly open attachment after clicking a shortcut,TBC,,ETD = 2017 Q2,,,,,,,N,Calvin,,,FW,,
DMS-02-11,DMS,DMS,always available offline,Will option like ‘always available offline’ be provided when a folder/ subfolder is created,?,,,,,Rejected,,,,,,,,,,
DMS-02-12,DMS,DMS,preview pane,Can a preview pane be provided? ,?,,,,,Rejected,,,,,,,,,,
DMS-02-13,DMS,DMS,Auto-Archive Setting,"Auto-Archive Setting (setup per folder)
 - Move old items to default archive folder
 - Move old items to specific folder
 - Permanently delete old item
(old item include files only, sub-folder will not be treated as old item)
(archived file will no longer appear as attachment in the corresponding record)",2016年11月,,,,Calvin Tam,Resolved,2016-11-25,,,Y,,,,FW,,
DMS-02-14,DMS,DMS,My Desktop Plugin - recent uploaded files,"A block will be added on ""My Desktop"" to display recent uploaded files list (only recent files that the user can accessed will be shown)",2016年12月,,"Widget方面打算用上EditTable, ?在等待Jerry ?EditTable加入actionPerformed/ actionListener之?的attribute",,Calvin Tam,Resolved,2016-12-06,TBC,2016/11/25：等Jerry修改edittable后再?理,Y,,,,FW,,
DMS-02-15,DMS,Stress Test,Upload, - Upload around 1TB of files to the DMS,2017年3月,,,,Calvin Tam,Pending,TBC,2017-02-28,"2016/12/2：DMS完整功能?未完成，ETD?延
2016/12/9：???境?搭建好
2016/12/16：Iran review后??星期主要在?整代?和修复bugs
2016/12/30：已?始??，??AP休假，?未确??度
2017/1/13：用jmeter????多人同時上下載/ 讀取資料夾的效能
2017/2/10：?在持???
2017/2/28：暫時比較大的問題是, 同是有太多人連接server, Server會有些thread壞掉的問題。Calvin最近修复DMS Bugs，此????置",Y,,,,FW,,
DMS-02-16,DMS,DMS,??功能?整 - 改??人行?,,2017年3月,,,142854,Calvin Tam,Resolved,2016-03-06,,,Y,,,,SL,,
DMS-02-17,DMS,DMS,文?管理插件改?使用Windows Theme,,2017年3月,,,142914,Calvin Tam,Proposed,2016-03-10,,,Y,,,,SL,,
DMS-02-18,DMS,DMS,修改文件流?取方式,?文件流的?取方式?行修改，以支持云部署后仍能正常使用,2017年3月,,,144284,Calvin Tam,Active,2017-03-28,,,Y,,,,SL,,
